"","x"
"1",-8.59888366439341
"2",-8.77099792967959
"3",-8.44506540581074
"4",-9.47891757539351
"5",-8.11524320991779
"6",-8.89845014828739
"7",-8.48198344046058
"8",-8.65452032894872
"9",-8.35526016149191
"10",-8.65125674639343
"11",-8.62834077956415
"12",-7.70526871459026
"13",-8.89507976884326
"14",-9.14638983726421
"15",-8.00272566168739
"16",-7.95613917709403
"17",-7.77792181662127
"18",-9.04096417794242
"19",-8.94302355841633
"20",-8.90957275401277
"21",-8.54146290253942
"22",-8.54522509762991
"23",-8.43993062566534
"24",-8.06537957094182
"25",-8.36725225631314
"26",-8.61542430643382
"27",-8.55823738770784
"28",-8.34305043371232
"29",-8.78559796746446
"30",-9.08499679134616
"31",-8.10445174351471
"32",-8.27324877862384
"33",-8.56174292846107
"34",-8.31211923628685
"35",-9.3786563808809
"36",-8.34052446485165
"37",-8.31643070767448
"38",-8.88915026272508
"39",-8.73247593439059
"40",-8.64054231191854
"41",-8.57652410871156
"42",-8.16036843558472
"43",-8.89788172811182
"44",-9.18478157563202
"45",-9.05140095802156
"46",-8.73641212328913
"47",-9.34216560652623
"48",-8.96598216209806
"49",-9.52561650377831
"50",-8.92529372040359
"51",-8.7363279239616
"52",-9.20327162672608
"53",-8.17000593227654
"54",-9.30527918712692
"55",-8.45739714798346
"56",-8.78175934574881
"57",-9.0703584365592
"58",-8.44074524136169
"59",-8.51817962537657
"60",-9.34811087149643
"61",-8.67156107955073
"62",-8.79055014370494
"63",-9.03543953084034
"64",-8.85883190956064
"65",-8.79763788353156
"66",-8.99493553223561
"67",-8.7288217916441
"68",-8.78435026254294
"69",-9.05269281666513
"70",-9.68799450438781
"71",-9.2834708007894
"72",-8.72049362535954
"73",-8.32921922921189
"74",-8.4967694041068
"75",-8.57283983946689
"76",-8.8215774443931
"77",-8.56402248695312
"78",-8.63389950280291
"79",-8.53188423449982
"80",-8.5254295958576
"81",-8.60599227962883
"82",-8.20284064944653
"83",-8.26345275279593
"84",-8.26312794067794
"85",-8.31374293353408
"86",-9.04955872237891
"87",-8.91275988111086
"88",-8.71442606296626
"89",-8.37985363169592
"90",-9.03846866853858
"91",-9.30601796374495
"92",-9.01623700832635
"93",-8.86108221156307
"94",-8.83703689518934
"95",-8.61505840162762
"96",-9.02217239837479
"97",-8.71007645520112
"98",-8.86282847641297
"99",-8.37801883406344
"100",-8.45910924068102
"101",-8.90993279599947
"102",-8.38463157639767
"103",-8.6418254966827
"104",-8.54274255408843
"105",-7.82900499281937
"106",-8.74612077526745
"107",-8.41911391851488
"108",-8.37268988201523
"109",-8.40787740820353
"110",-8.92577593175546
"111",-10.0418928362646
"112",-8.48447016889988
"113",-9.09777024789085
"114",-8.98810402967726
"115",-8.90678815226486
"116",-8.3193414592933
"117",-8.45645399502532
"118",-8.32089053610857
"119",-8.70794027365859
"120",-8.9980433025863
"121",-8.84950632613408
"122",-8.07594375253514
"123",-8.54360497122194
"124",-8.96128169740958
"125",-8.40030468398307
"126",-9.09150101051655
"127",-7.85514852926809
"128",-9.06155773034472
"129",-9.03771890102325
"130",-9.06064323240757
"131",-9.24278293636116
"132",-8.3169606509031
"133",-8.79625033427142
"134",-8.38621728110097
"135",-8.32897188765563
"136",-8.21293145619389
"137",-8.80608679229625
"138",-9.08757753811945
"139",-8.80598750962858
"140",-8.70629105039016
"141",-8.10433367020375
"142",-8.37881808774303
"143",-9.41528720884521
"144",-9.15410722192514
"145",-8.94139354825402
"146",-9.09442876084508
"147",-8.65376713286825
"148",-8.71818096622695
"149",-8.52070937846693
"150",-8.63879571716059
"151",-9.07344252294273
"152",-8.66464419327863
"153",-7.90550821386537
"154",-8.95438369838878
"155",-8.26934616247623
"156",-8.64833364394234
"157",-7.62771822690519
"158",-8.06127507607723
"159",-8.87612814948668
"160",-7.98330939533924
"161",-8.7809409784193
"162",-8.55240674465647
"163",-8.37124607091274
"164",-8.36075757128441
"165",-8.51911118510362
"166",-9.20820726571164
"167",-8.57601137124317
"168",-8.87436815227536
"169",-8.78110602373478
